Variant_category	pval_bin	Proportion	Type
coding	1e-07~1e-05	0.0860215053763441	sOutliers
conserved_noncoding	1e-07~1e-05	0.032258064516129	sOutliers
DEL	1e-07~1e-05	0.010752688172043	sOutliers
DUP	1e-07~1e-05	0.010752688172043	sOutliers
frameshift	1e-07~1e-05	0.010752688172043	sOutliers
no_variant	1e-07~1e-05	0.241935483870968	sOutliers
other_noncoding	1e-07~1e-05	0.327956989247312	sOutliers
splice_acceptor_variant	1e-07~1e-05	0.0376344086021505	sOutliers
splice_donor_variant	1e-07~1e-05	0.0752688172043011	sOutliers
splice_region_variant	1e-07~1e-05	0.10752688172043	sOutliers
stop	1e-07~1e-05	0.00537634408602151	sOutliers
TE	1e-07~1e-05	0.021505376344086	sOutliers
TSS	1e-07~1e-05	0.0268817204301075	sOutliers
BND	nonOutlier	0.0017556942937762	sOutliers
CNV	nonOutlier	0.00289025437522882	sOutliers
coding	nonOutlier	0.015415816994348	sOutliers
conserved_noncoding	nonOutlier	0.0340459793876177	sOutliers
DEL	nonOutlier	0.00671945502476326	sOutliers
DUP	nonOutlier	0.00139779347625538	sOutliers
frameshift	nonOutlier	0.000485895037012064	sOutliers
INV	nonOutlier	7.19665611479101e-05	sOutliers
no_variant	nonOutlier	0.368538344653174	sOutliers
other_noncoding	nonOutlier	0.531935765255704	sOutliers
splice_acceptor_variant	nonOutlier	0.000184021877834589	sOutliers
splice_donor_variant	nonOutlier	0.000257437430146551	sOutliers
splice_region_variant	nonOutlier	0.00451070949369351	sOutliers
stop	nonOutlier	0.000435663343324932	sOutliers
TE	nonOutlier	0.00852055104167975	sOutliers
TSS	nonOutlier	0.0228346517542936	sOutliers
BND	0~1e-07	0.00520833333333333	eOutliers - Over
CNV	0~1e-07	0.0625	eOutliers - Over
coding	0~1e-07	0.0104166666666667	eOutliers - Over
conserved_noncoding	0~1e-07	0.0729166666666667	eOutliers - Over
DEL	0~1e-07	0.0260416666666667	eOutliers - Over
DUP	0~1e-07	0.145833333333333	eOutliers - Over
frameshift	0~1e-07	0.00520833333333333	eOutliers - Over
no_variant	0~1e-07	0.177083333333333	eOutliers - Over
other_noncoding	0~1e-07	0.3125	eOutliers - Over
splice_acceptor_variant	0~1e-07	0.0104166666666667	eOutliers - Over
splice_donor_variant	0~1e-07	0.0260416666666667	eOutliers - Over
splice_region_variant	0~1e-07	0.03125	eOutliers - Over
stop	0~1e-07	0.00520833333333333	eOutliers - Over
TE	0~1e-07	0.00520833333333333	eOutliers - Over
TSS	0~1e-07	0.104166666666667	eOutliers - Over
BND	1e-02~5e-02	0.00178970917225951	eOutliers - Over
CNV	1e-02~5e-02	0.0241610738255034	eOutliers - Over
coding	1e-02~5e-02	0.0138702460850112	eOutliers - Over
conserved_noncoding	1e-02~5e-02	0.0322147651006711	eOutliers - Over
DEL	1e-02~5e-02	0.00805369127516779	eOutliers - Over
DUP	1e-02~5e-02	0.00402684563758389	eOutliers - Over
frameshift	1e-02~5e-02	0.00492170022371365	eOutliers - Over
no_variant	1e-02~5e-02	0.444742729306488	eOutliers - Over
other_noncoding	1e-02~5e-02	0.400447427293065	eOutliers - Over
splice_acceptor_variant	1e-02~5e-02	0.000447427293064877	eOutliers - Over
